gid,gstart,gend,old_zdb
gene-c1ql4b,42363126,42384477,ZDB-GENE-131127-59
gene-c1qtnf13,17148042,17153464,ZDB-GENE-060503-214
gene-c6.1,22150303,22198025,ZDB-GENE-040426-1358
gene-cabp2b,50851404,50927325,ZDB-GENE-081028-55
gene-cabp4,15554055,15582718,ZDB-GENE-081104-291
gene-cabp5a,4332261,4345927,ZDB-GENE-040426-1655
gene-cacna2d2b,9107286,9159975,ZDB-GENE-060503-99
gene-cacna2d3,39041867,39128752,ZDB-GENE-030616-133
gene-cacng1b,65947290,65970048,ZDB-GENE-131127-98
gene-cacng4a,19958337,19972012,ZDB-GENE-120215-100
gene-cadpsa,21879274,22131685,ZDB-GENE-030616-525
gene-cald1b,21394950,21467753,ZDB-GENE-090313-229
gene-calhm2.2,28635790,28637700,ZDB-GENE-081028-65
gene-camkmt,10791585,11052427,ZDB-GENE-090313-49
gene-camsap3,55890995,55975527,ZDB-GENE-060503-811
gene-capn12,39587331,39654744,ZDB-GENE-050419-245
gene-capn3b,28639359,28685056,ZDB-GENE-041001-149
gene-caps2,8411280,8512999,ZDB-GENE-091204-449
gene-car15,47257838,47273431,ZDB-GENE-091204-152
gene-card9,55245932,55258898,ZDB-GENE-060531-94
gene-casr,73787621,73803778,ZDB-GENE-050119-8
gene-cbarpb,18492304,18537283,ZDB-GENE-050208-507
gene-cblb,33508074,33654952,ZDB-GENE-030616-417
gene-cbln18,585147,597331,ZDB-GENE-111109-3
gene-cbln7,42584073,42586111,ZDB-GENE-070912-655
gene-ccdc141,44808303,44876646,ZDB-GENE-081104-472
gene-ccdc181,20481723,20489755,ZDB-GENE-060503-312
gene-ccl39.6,13822862,13864802,ZDB-GENE-131121-128
gene-ccny,4561397,4612825,ZDB-GENE-091117-45
gene-ccr11.1,8030873,8032987,ZDB-GENE-070302-5
gene-ccser1,30805115,30954261,ZDB-GENE-081104-422
gene-cd109,52314236,52377721,ZDB-GENE-120215-253
gene-cd164l2,46396714,46406355,ZDB-GENE-120215-174
gene-cd28,14129711,14134628,ZDB-GENE-070912-128
gene-cdc42ep1b,2235493,2251452,ZDB-GENE-120215-219
gene-cdh12a,31951310,32073878,ZDB-GENE-070912-673
gene-cdh16,45442048,45522709,ZDB-GENE-140106-140
gene-cdh26.1,1056602,1113513,ZDB-GENE-100922-193
gene-cdk18,40684310,40833849,ZDB-GENE-141215-51
gene-cdk19,2963451,3044446,ZDB-GENE-040724-19
gene-cds1,40938310,40974000,ZDB-GENE-070705-78
gene-celf3b,1428808,1458599,ZDB-GENE-110408-50
gene-celf6,1393277,1458339,ZDB-GENE-120215-101
gene-cep170ba,2682559,2749333,ZDB-GENE-131127-515
gene-cep192,10468890,10546002,ZDB-GENE-100922-163
gene-cept1a,14706644,14727061,ZDB-GENE-081105-47
gene-cfap210,50075958,50087824,ZDB-GENE-081104-457
gene-cfap251,42596174,42614857,ZDB-GENE-060526-328
gene-cfap46,55543974,55733235,ZDB-GENE-110930-7
gene-cfap65,7810824,7851143,ZDB-GENE-081104-83
gene-cfap70,10908675,10977095,ZDB-GENE-091204-50
gene-cfap73,23870120,23876299,ZDB-GENE-060526-194
gene-cfap90,30006230,30024666,ZDB-GENE-060503-559
gene-cfap91,9530320,9587529,ZDB-GENE-070912-489
gene-cfhl3,23586867,23601231,ZDB-GENE-050208-423
gene-cgasa,30554086,30558489,ZDB-GENE-090313-23
gene-chmp6a,54168503,54191165,ZDB-GENE-100812-5
gene-chrna10a,40887884,40901766,ZDB-GENE-060503-725
gene-chrna9a,24993165,25004356,ZDB-GENE-090312-63
gene-chrnb5a,24113332,24163404,ZDB-GENE-090312-169
gene-chs3,17081897,17102127,ZDB-GENE-060503-226
gene-chs4,17137143,17147013,ZDB-GENE-060503-308
gene-chst12b.3,13050219,13052803,ZDB-GENE-090312-216
gene-chst12b.4,13023843,13027225,ZDB-GENE-090312-166
gene-chst12b.5,13014576,13018333,ZDB-GENE-090312-165
gene-chst12b.6,13002787,13006970,ZDB-GENE-090312-214
gene-cica,7027564,7076532,ZDB-GENE-060503-700
gene-cilp2,18163407,18182287,ZDB-GENE-050208-436
gene-ciz1a,1642997,1679440,ZDB-GENE-100922-222
gene-clcn2a,19257837,19423459,ZDB-GENE-070705-19
gene-clcn5a,33321039,33354251,ZDB-GENE-091113-15
gene-cldn10e,8220666,8226805,ZDB-GENE-030616-509
gene-cldn26,13393671,13394333,ZDB-GENE-060526-352
gene-cldn8.2,45267372,45282196,ZDB-GENE-050417-331
gene-cldn8.3,45267575,45301407,ZDB-GENE-070821-2
gene-clec3ba,3038452,3049192,ZDB-GENE-110411-71
gene-clip1a,73193718,73261384,ZDB-GENE-060526-282
gene-clmna,17241613,17302537,ZDB-GENE-131127-546
gene-clrn2,21016117,21019093,ZDB-GENE-061207-64
gene-clstn2b,44258424,44370072,ZDB-GENE-121214-77
gene-clstn3,12452118,12520505,ZDB-GENE-100921-73
gene-cmklrl2,21325982,21330003,ZDB-GENE-060526-127
gene-cnga1a,47153042,47157939,ZDB-GENE-090312-66
gene-cnga4,34616421,34656002,ZDB-GENE-070912-292
gene-cngb3.1,35566241,35587657,ZDB-GENE-090611-1
gene-cnn1a,55536537,55554130,ZDB-GENE-090312-141
gene-cnot4a,21257606,21278699,ZDB-GENE-090313-262
gene-cntn3a.1,11785425,11978669,ZDB-GENE-081030-10
gene-cntn3a.2,11126624,11339085,ZDB-GENE-090312-57
gene-cntn3b,47110871,47236264,ZDB-GENE-130530-645
gene-cntnap2b,53646817,53737401,ZDB-GENE-070912-26
gene-cntnap5a,25105354,25246704,ZDB-GENE-081105-126
gene-cntnap5b,13158542,13337708,ZDB-GENE-070705-209
gene-col12a1b,52640805,52871212,ZDB-GENE-120215-116
gene-col8a1b,30515833,30541819,ZDB-GENE-060503-140
gene-cpamd8,21084703,21142674,ZDB-GENE-050208-428
gene-cped1,11184323,11274063,ZDB-GENE-041210-247
gene-cracr2ab,11695779,11716972,ZDB-GENE-041210-94
gene-crhr2,37330712,37334763,ZDB-LINCRNAG-030616-71
gene-crispld2,74577094,74622641,ZDB-GENE-130131-1
gene-crtac1b,43467777,43668770,ZDB-GENE-090312-28
gene-crtc1b,6999185,7030474,ZDB-GENE-041210-266
gene-crygm2d19,23803866,23804676,ZDB-GENE-081105-90
gene-crygm2d21,23915082,23916248,ZDB-GENE-081105-133
gene-crygm2d9,23855849,23856888,ZDB-GENE-081105-81
gene-crygm2e,23694986,23697469,ZDB-GENE-081105-116
gene-csf1rb,47590401,47629350,ZDB-GENE-091118-1
gene-csgalnact1b,1068069,1082288,ZDB-GENE-130530-957
gene-csmd3a,52015968,52614183,ZDB-GENE-050419-118
gene-cspg4ba,41148774,41183734,ZDB-GENE-070705-337
gene-cspg4bb,9704659,9720694,ZDB-GENE-091118-56
gene-ctif,3965694,4099303,ZDB-GENE-130530-1003
gene-cts12,16111200,16123356,ZDB-GENE-050208-336
gene-cttnbp2nla,50737862,50774200,ZDB-GENE-140106-51
gene-cux2b,5467441,5807102,ZDB-GENE-081104-176
gene-cxcl11.6,42879542,42880582,ZDB-GENE-060526-78
gene-cxcr5,46851153,46854365,ZDB-GENE-070302-8
gene-cxl34c,13725030,13728166,ZDB-GENE-030131-8344
gene-cyp27a1.2,40132005,40138703,ZDB-GENE-081104-511
gene-cyp2k20,11224374,11237803,ZDB-GENE-091113-5
gene-cyp3c2,39914674,39944125,ZDB-GENE-081103-62
gene-cytip,5274764,5286643,ZDB-GENE-140106-76
gene-dcaf8,41025514,41046000,ZDB-GENE-070912-578
gene-dcst1,31837843,31855867,ZDB-GENE-070809-5
gene-ddr2l,10426626,10526006,ZDB-GENE-041210-162
gene-ddx1,36041202,36055664,ZDB-GENE-041001-215
gene-dennd4b,59516493,59554524,ZDB-GENE-130530-684
gene-dhrs12lb,50851872,50865128,ZDB-GENE-131121-6
gene-dio3b,57309084,57316190,ZDB-GENE-070705-53
gene-dip2a,540979,674167,ZDB-GENE-091204-2
gene-dis3l2,6158914,6202361,ZDB-GENE-070705-171
gene-dnah10,28916806,28988891,ZDB-GENE-060531-163
gene-dnah5,9395403,9638082,ZDB-GENE-110411-177
gene-dnajc16,40683428,40706676,ZDB-GENE-130530-683
gene-doc2a,14148343,14356876,ZDB-GENE-090706-1
gene-dok7b,44231644,44282233,ZDB-GENE-090312-103
gene-dot1l,20596133,20656852,ZDB-GENE-060503-341
gene-drd1a,28312288,28317073,ZDB-GENE-130522-1
gene-drd6b,5999238,6004355,ZDB-GENE-121214-145
gene-drd7,28043219,28044550,ZDB-GENE-060526-372
gene-dre-let-7b,19244938,19245031,ZDB-MIRNAG-081203-3
gene-dre-let-7e,5464910,5465009,ZDB-MIRNAG-050103-4
gene-dre-let-7h,31471223,31471336,ZDB-MIRNAG-081203-22
gene-dre-let-7i,2061682,2061776,ZDB-MIRNAG-081203-23
gene-dre-mir-103,15623018,15623105,ZDB-MIRNAG-081203-11
gene-dre-mir-107,18556248,18556336,ZDB-MIRNAG-090929-113
gene-dre-mir-10b-2,39234365,39234456,ZDB-MIRNAG-070112-3
gene-dre-mir-124-4,28895251,28895333,ZDB-MIRNAG-081208-6
gene-dre-mir-129-1,19639984,19640073,ZDB-MIRNAG-081211-6
gene-dre-mir-129-2,52128887,52128973,ZDB-MIRNAG-081211-7
gene-dre-mir-130a-1,38374072,38374156,ZDB-MIRNAG-041228-20
gene-dre-mir-132-1,28371573,28371657,ZDB-MIRNAG-081203-18
gene-dre-mir-135a,33440154,33440251,ZDB-MIRNAG-090929-296
gene-dre-mir-137-1,23185556,23185640,ZDB-MIRNAG-081203-21
gene-dre-mir-137-2,34494272,34494399,ZDB-MIRNAG-081211-13
gene-dre-mir-138,18965080,18965166,ZDB-MIRNAG-081203-25
gene-dre-mir-146b-1,45301503,45301582,ZDB-MIRNAG-090929-158
gene-dre-mir-148,1636372,1636450,ZDB-MIRNAG-090929-160
gene-dre-mir-152,22837155,22837234,ZDB-MIRNAG-090929-162
gene-dre-mir-153a,40840511,40840591,ZDB-MIRNAG-081203-27
gene-dre-mir-15b,26102605,26102738,ZDB-MIRNAG-081208-12
gene-dre-mir-182,15658677,15658744,ZDB-MIRNAG-041228-13
gene-dre-mir-183,15657578,15657675,ZDB-MIRNAG-041217-7
gene-dre-mir-184-1,27635639,27635725,ZDB-MIRNAG-090929-168
gene-dre-mir-184-2,30157776,30157854,ZDB-MIRNAG-090929-289
gene-dre-mir-190a,35469539,35469664,ZDB-MIRNAG-090929-169
gene-dre-mir-19a,4186803,4186891,ZDB-MIRNAG-050103-6
gene-dre-mir-19b,4186439,4186525,ZDB-MIRNAG-080926-2
gene-dre-mir-204-2,29379241,29379364,ZDB-MIRNAG-081215-1
gene-dre-mir-205,36237100,36237188,ZDB-MIRNAG-041217-13
gene-dre-mir-20a,4186558,4186710,ZDB-MIRNAG-050103-7
gene-dre-mir-21-1,33118344,33118491,ZDB-MIRNAG-050103-8
gene-dre-mir-21-2,19805709,19805835,ZDB-MIRNAG-081209-2
gene-dre-mir-212,28371304,28371397,ZDB-MIRNAG-041217-5
gene-dre-mir-216b,30650790,30650866,ZDB-MIRNAG-090929-189
gene-dre-mir-221,35611917,35612009,ZDB-MIRNAG-041217-16
gene-dre-mir-22a,27392346,27392431,ZDB-MIRNAG-050103-9
gene-dre-mir-26a-1,43463285,43463362,ZDB-MIRNAG-050103-12
gene-dre-mir-26b,27617340,27617436,ZDB-MIRNAG-081210-6
gene-dre-mir-27e,5533619,5533724,ZDB-MIRNAG-081210-11
gene-dre-mir-29b-1,50006521,50006603,ZDB-MIRNAG-081210-13
gene-dre-mir-29b3,12178847,12178934,ZDB-MIRNAG-081210-14
gene-dre-mir-301a-1,38373943,38374028,ZDB-MIRNAG-090929-196
gene-dre-mir-30b,26637225,26637312,ZDB-MIRNAG-081210-17
gene-dre-mir-30c,31031311,31031389,ZDB-MIRNAG-081210-18
gene-dre-mir-31,79097639,79097710,ZDB-MIRNAG-090929-295
gene-dre-mir-338-1,37636585,37636669,ZDB-MIRNAG-090929-200
gene-dre-mir-338-2,19348570,19348693,ZDB-MIRNAG-090929-201
gene-dre-mir-365-2,34821046,34821143,ZDB-MIRNAG-090929-206
gene-dre-mir-365-3,24537787,24537885,ZDB-MIRNAG-090929-207
gene-dre-mir-375-1,14770696,14770775,ZDB-MIRNAG-071107-1
gene-dre-mir-375-2,11691460,11691542,ZDB-MIRNAG-071107-2
gene-dre-mir-429,27014536,27014617,ZDB-MIRNAG-080506-7
gene-dre-mir-430a-11,31636604,31636685,ZDB-MIRNAG-090929-243
gene-dre-mir-430a-12,31276258,31276339,ZDB-MIRNAG-090929-244
gene-dre-mir-430a-13,31276848,31276929,ZDB-MIRNAG-090929-245
gene-dre-mir-430a-14,31277452,31277533,ZDB-MIRNAG-090929-246
gene-dre-mir-430a-15,31280331,31280412,ZDB-MIRNAG-090929-247
gene-dre-mir-430a-16,31298966,31299047,ZDB-MIRNAG-090929-248
gene-dre-mir-430a-17,31638993,31639074,ZDB-MIRNAG-090929-249
gene-dre-mir-430a-2,31275632,31275713,ZDB-MIRNAG-090929-234
gene-dre-mir-430a-3,31279705,31279786,ZDB-MIRNAG-090929-235
gene-dre-mir-430a-4,31280921,31281002,ZDB-MIRNAG-090929-236
gene-dre-mir-430a-5,31295405,31295486,ZDB-MIRNAG-050608-6
gene-dre-mir-430a-6,31272754,31272835,ZDB-MIRNAG-090929-238
gene-dre-mir-430a-7,31283778,31283859,ZDB-MIRNAG-090929-239
gene-dre-mir-430a-8,31290729,31290810,ZDB-MIRNAG-090929-240
gene-dre-mir-430b-1,31277246,31277326,ZDB-MIRNAG-090929-34
gene-dre-mir-430b-10,31305148,31305228,ZDB-MIRNAG-050608-7
gene-dre-mir-430b-11,31303408,31303488,ZDB-MIRNAG-090929-267
gene-dre-mir-430b-12,31301645,31301725,ZDB-MIRNAG-090929-268
gene-dre-mir-430b-13,31298760,31298840,ZDB-MIRNAG-090929-269
gene-dre-mir-430b-14,31294674,31294754,ZDB-MIRNAG-090929-270
gene-dre-mir-430b-16,31284198,31284278,ZDB-MIRNAG-090929-272
gene-dre-mir-430b-17,31280125,31280205,ZDB-MIRNAG-090929-273
gene-dre-mir-430b-18,31637636,31637716,ZDB-MIRNAG-090929-274
gene-dre-mir-430b-19,31641139,31641219,ZDB-MIRNAG-090929-276
gene-dre-mir-430b-2,31274901,31274981,ZDB-MIRNAG-090929-259
gene-dre-mir-430b-3,31276642,31276722,ZDB-MIRNAG-090929-260
gene-dre-mir-430b-4,31289408,31289488,ZDB-MIRNAG-090929-261
gene-dre-mir-430b-5,31276052,31276132,ZDB-MIRNAG-090929-275
gene-dre-mir-430b-6,31273174,31273254,ZDB-MIRNAG-090929-262
gene-dre-mir-430b-7,31636398,31636478,ZDB-MIRNAG-090929-263
gene-dre-mir-430b-8,31644030,31644110,ZDB-MIRNAG-090929-264
gene-dre-mir-430b-9,31633507,31633583,ZDB-MIRNAG-090929-265
gene-dre-mir-430c-10,31274658,31274730,ZDB-MIRNAG-090929-222
gene-dre-mir-430c-11,31285739,31285811,ZDB-MIRNAG-090929-223
gene-dre-mir-430c-12,31282804,31282876,ZDB-MIRNAG-090929-224
gene-dre-mir-430c-13,31288014,31288086,ZDB-MIRNAG-090929-225
gene-dre-mir-430c-14,31281666,31281738,ZDB-MIRNAG-090929-226
gene-dre-mir-430c-15,31289151,31289223,ZDB-MIRNAG-090929-227
gene-dre-mir-430c-16,31276399,31276471,ZDB-MIRNAG-090929-228
gene-dre-mir-430c-17,31284545,31284617,ZDB-MIRNAG-090929-229
gene-dre-mir-430c-18,31285135,31285207,ZDB-MIRNAG-090929-230
gene-dre-mir-430c-7,31281062,31281134,ZDB-MIRNAG-090929-219
gene-dre-mir-451a,43081211,43081270,ZDB-MIRNAG-090929-37
gene-dre-mir-455-1,71186255,71186350,ZDB-MIRNAG-090929-213
gene-dre-mir-462,27980315,27980416,ZDB-MIRNAG-090929-170
gene-dre-mir-722,59855571,59855661,ZDB-MIRNAG-090929-299
gene-dre-mir-724,3253674,3253758,ZDB-MIRNAG-090929-302
gene-dre-mir-727,30270457,30270547,ZDB-MIRNAG-090929-305
gene-dre-mir-728,30275605,30275687,ZDB-MIRNAG-090929-306
gene-dre-mir-731,27980541,27980630,ZDB-MIRNAG-090929-310
gene-dre-mir-736,27591544,27591623,ZDB-MIRNAG-090929-316
gene-dre-mir-7ba,60921342,60921445,ZDB-MIRNAG-081208-4
gene-dre-mir-9-1,32348382,32348468,ZDB-MIRNAG-070720-1
gene-dre-mir-96,15657727,15657851,ZDB-MIRNAG-070111-4
gene-dre-mir-99-1,32300037,32300120,ZDB-MIRNAG-081203-10
gene-dtx4b,44588470,44621141,ZDB-GENE-070410-129
gene-dusp19a,46512011,46517607,ZDB-GENE-081104-382
gene-dym,4231909,4398894,ZDB-GENE-091204-348
gene-edil3b,48601598,48665883,ZDB-GENE-090312-42
gene-ednrbb,56192600,56227676,ZDB-GENE-081105-182
gene-eeig1a,3887117,3970930,ZDB-GENE-081104-233
gene-efna4,24208900,24301314,ZDB-GENE-100922-64
gene-efnb3a,27432335,27506176,ZDB-GENE-100316-1
gene-elmo2,113253,131372,ZDB-GENE-140106-84
gene-elmo3,18378537,18433258,ZDB-GENE-050309-39
gene-elmod3,54405005,54451590,ZDB-GENE-091204-471
gene-emilin2a,33946694,33981159,ZDB-GENE-060503-247
gene-enox1,19911189,20171896,ZDB-GENE-081104-328
gene-enpp7.1,34309900,34317394,ZDB-GENE-040724-13
gene-entpd2b,12879074,12888820,ZDB-GENE-061013-2
gene-entr1,55288925,55298553,ZDB-GENE-060526-242
gene-ep400,52091787,52152125,ZDB-GENE-081104-186
gene-epb41a,14771633,14938685,ZDB-GENE-070705-81
gene-epm2a,1635222,1666609,ZDB-GENE-100922-143
gene-epn3b,60597255,60619787,ZDB-GENE-121214-173
gene-eps15,18299267,18339566,ZDB-GENE-081104-264
gene-eps8l2,4626561,4745111,ZDB-GENE-131121-340
gene-espnlb,26093630,26121684,ZDB-GENE-070912-481
gene-esyt1a,28251438,28290528,ZDB-GENE-090311-55
gene-esyt1b,54991734,55068248,ZDB-GENE-040724-209
gene-eva1c,38587592,38596889,ZDB-GENE-091204-329
gene-evi5l,48489573,48575946,ZDB-GENE-061207-24
gene-exd3,11522165,11626941,ZDB-GENE-091204-349
gene-f2r2.2,9352042,9358569,ZDB-GENE-120215-10
gene-fam110c,38605551,38611061,ZDB-GENE-131121-63
gene-fam20ca,66842420,66909931,ZDB-GENE-130530-750
gene-fam234a,43331130,43353956,ZDB-GENE-091204-17
gene-fam78ba,10408285,10414968,ZDB-GENE-140227-3
gene-fbxl13,19750087,19765020,ZDB-GENE-140106-120
gene-fbxo22,29940283,29947851,ZDB-GENE-040724-68
gene-fbxw9,11980485,11996001,ZDB-GENE-091204-198
gene-fer1l6,14209992,14250401,ZDB-GENE-070912-312
gene-fez2a,3024992,3042763,ZDB-GENE-110411-17
gene-fhod3a,872724,930574,ZDB-GENE-060503-633
gene-fkbp15a,33452020,33486251,ZDB-GENE-060526-98
gene-fkbp15b,62505999,62550604,ZDB-GENE-081105-181
gene-fmn1,32162011,32205816,ZDB-GENE-041001-198
gene-fndc4a,21662341,21732489,ZDB-GENE-041014-146
gene-fndc5a,49371599,49405580,ZDB-GENE-061207-40
gene-foxg1c,43826557,43827696,ZDB-GENE-050419-26
gene-foxj2,13122930,13152124,ZDB-GENE-100922-240
gene-frk,468855,492383,ZDB-GENE-110411-7
gene-frrs1a,23483872,23513180,ZDB-GENE-070705-45
gene-ftr13,46272972,46277533,ZDB-GENE-070912-395
gene-ftr30,60669735,60687506,ZDB-GENE-070912-106
gene-ftr35,60571816,60584272,ZDB-GENE-070912-111
gene-ftr36,60547859,60569426,ZDB-GENE-070912-483
gene-ftr37,60527600,60536969,ZDB-GENE-070912-486
gene-ftr57,5774263,5781241,ZDB-GENE-090312-35
gene-ftr59,6879213,6892284,ZDB-GENE-090508-4
gene-ftr61,6225559,6229783,ZDB-GENE-070424-55
gene-ftr70,49764343,49775231,ZDB-GENE-090508-11
gene-ftr91,44459004,44468488,ZDB-GENE-131125-31
gene-ftr95,60696522,60704516,ZDB-GENE-070912-105
gene-fut8b,53757718,53976267,ZDB-GENE-130530-923
gene-fut9b.6,4766797,4803933,ZDB-GENE-050417-294
gene-fyb1b,21188993,21211613,ZDB-GENE-091204-85
gene-fyco1a,43257130,43346495,ZDB-GENE-110411-276
gene-gabbr1b,29450298,29677777,ZDB-GENE-060503-5
gene-gabra2a,12535315,12570230,ZDB-GENE-141216-16
gene-gabrb4,48175373,48285666,ZDB-GENE-070424-211
gene-gabrd,63184983,63201604,ZDB-GENE-081105-170
gene-gabrg2,45560233,45662220,ZDB-GENE-091118-65
gene-gabrr1,1175319,1195775,ZDB-GENE-040724-212
gene-gak,10167239,10262753,ZDB-GENE-041210-358
gene-galnt8a.2,17638313,17658825,ZDB-GENE-131122-40
gene-galnt9,17521353,17704194,ZDB-GENE-060526-21
gene-galr1a,24323486,24332486,ZDB-GENE-060503-290
gene-gareml,51183112,51216494,ZDB-GENE-081031-49
gene-garnl3,33974325,34083220,ZDB-GENE-060526-61
gene-gas5,18467266,18470891,ZDB-LNCRNAG-081104-166
gene-gata1b,8996617,9022579,ZDB-GENE-081104-43
gene-gbgt1l8,24446623,24454289,ZDB-GENE-060531-59
gene-gcnt4b.1,17266665,17276669,ZDB-GENE-091118-69
gene-gfi1b,18663583,18683710,ZDB-GENE-091118-129
gene-gga3b,4793690,4822397,ZDB-GENE-131126-18
gene-ggt1l2.2,61518934,61534653,ZDB-GENE-090312-37
gene-ghsrb,30800930,30806111,ZDB-GENE-090327-1
gene-gigyf1b,27403167,27429676,ZDB-GENE-091204-310
gene-gjb1b,12877383,12894645,ZDB-GENE-050616-3
gene-gjc4a.2,19499877,19511996,ZDB-GENE-060601-4
gene-glt1d1,42957860,43051715,ZDB-GENE-110203-1
gene-gna14a,61798382,61827821,ZDB-GENE-081105-76
gene-gpnmb,22648177,22669804,ZDB-GENE-060503-106
gene-gpr101,36415545,36422592,ZDB-GENE-070914-1
gene-gpr132a,41629867,41642019,ZDB-GENE-131127-108
gene-gpr26,23007884,23020558,ZDB-GENE-131121-131
gene-gpr45,6696299,6709056,ZDB-GENE-070912-629
gene-gpr78b,62513762,62519255,ZDB-GENE-140106-142
gene-gpr83,23064077,23071857,ZDB-GENE-060526-286
gene-gpsm1a,70139717,70148405,ZDB-GENE-060526-302
gene-gpx2,55415630,55419224,ZDB-GENE-170913-1
gene-gramd4a,29835084,29951197,ZDB-GENE-041210-211
gene-grb7,40150303,40191254,ZDB-GENE-091118-23
gene-grem1b,1342132,1351176,ZDB-GENE-090218-21
gene-grin2aa,25812559,26018186,ZDB-GENE-070424-129
gene-grin3bb,14366186,14562129,ZDB-GENE-131122-77
gene-grm1b,8524709,8585377,ZDB-GENE-090821-3
gene-gsg1l2b,564405,599859,ZDB-GENE-121214-171
gene-guca1ab.2,1250293,1263485,ZDB-GENE-091204-414
