gid,gstart,gend,new_zdb
gene-ctxn1,59755412,59755864,ZDB-NCRNAG-260320-1
gene-cul9,6385439,6452982,ZDB-GENE-030131-2261
gene-dclk3,45842560,45859759,ZDB-GENE-081104-224
gene-dcstamp,48781718,48790738,ZDB-GENE-121126-1
gene-def6b,1025311,1046280,ZDB-GENE-110408-59
gene-diaph1,2194139,2368021,ZDB-GENE-260731-2
gene-dlgap2b,15445090,15694535,ZDB-GENE-040724-191
gene-dpp10,58882279,58928040,ZDB-GENE-140106-223
gene-dre-mir-139,50815313,50815381,ZDB-MIRNAG-081203-26
gene-dre-mir-216a,30650482,30650570,ZDB-MIRNAG-041228-5
gene-dre-mir-222,35612449,35612556,ZDB-MIRNAG-041217-17
gene-dre-mir-23b,18235633,18235713,ZDB-MIRNAG-081209-7
gene-dre-mir-430a-18,31612592,31612681,ZDB-MIRNAG-090929-250
gene-dvl1a,32848005,32932571,ZDB-GENE-090312-40
gene-dxo,65701972,65714481,ZDB-GENE-040718-286
gene-efna5b,2183783,2385354,ZDB-GENE-980526-186
gene-epha5,14717010,14931690,ZDB-GENE-211223-29
gene-erbb4b,41005471,41661769,ZDB-GENE-030918-5
gene-erc1b,8701251,9015768,ZDB-GENE-041210-51
gene-erlin2,36089105,36113275,ZDB-GENE-090505-4
gene-exoc3l2a,37643108,37663191,ZDB-GENE-060526-343
gene-eys,41144428,41666623,ZDB-GENE-130530-959
gene-fam169ab,17279441,17309936,ZDB-GENE-091118-95
gene-fam169b,22448954,22453950,ZDB-GENE-050419-217
gene-fam217ba,12267448,12275753,ZDB-GENE-090313-236
gene-fbrsl1,17895292,18479776,ZDB-GENE-070705-487
gene-fibcd1a,14017168,14415782,ZDB-GENE-081105-148
gene-filip1a,56073834,56091549,ZDB-GENE-030131-4110
gene-fsbp,28118846,28129268,ZDB-LINCRNAG-081104-367
gene-ftr05,51117005,51126838,ZDB-GENE-070912-227
gene-ftr21,51136199,51149210,ZDB-GENE-110921-4
gene-ftr22,51151159,51165038,ZDB-GENE-070912-321
gene-ftr27,51218760,51228970,ZDB-GENE-070912-318
gene-ftr84,37939353,38000407,ZDB-GENE-070705-530
gene-gab3,22606985,22652469,ZDB-GENE-070705-270
gene-galnt3,51670729,51715431,ZDB-GENE-120313-1
gene-gbp3,47051625,47078247,ZDB-GENE-070912-176
gene-gckr,6995931,7026682,ZDB-GENE-110411-248
gene-gfra2b,24577482,24668438,ZDB-GENE-091204-26
gene-ggt7,2657654,2699046,ZDB-GENE-190104-2
gene-gimap4,11420807,11427499,ZDB-GENE-260729-3
gene-gng14,11972509,11980852,ZDB-GENE-091204-371
gene-gng4,53631843,53676555,ZDB-GENE-090831-1
gene-golga7bb,43529681,43574515,ZDB-GENE-090312-173
gene-gon4la,29095147,29134144,ZDB-GENE-060503-728
gene-gp9,4690812,4693983,ZDB-GENE-090313-5
gene-gpa33b,35992241,36004578,ZDB-GENE-070912-194
gene-h2af1al,359083,360040,ZDB-GENE-160922-1
gene-hcn5,22859005,22868638,ZDB-GENE-081105-169
gene-heatr5a,30108134,30149856,ZDB-GENE-030616-152
gene-hectd4,78134148,78244701,ZDB-GENE-130530-528
gene-helz2b,44946926,44984056,ZDB-GENE-070912-617
gene-her4.5,24380272,24382093,ZDB-GENE-081031-106
gene-hgfac,79118233,79143250,ZDB-GENE-130530-1031
gene-hhla2a.2,40463165,40468337,ZDB-GENE-091204-324
gene-hmgxb4b,250317,258374,ZDB-GENE-030131-450
gene-hsbp1l1,12527260,12532371,ZDB-GENE-260803-4
gene-htra2-14,39132248,39140063,ZDB-GENE-080215-8
gene-ifi44b,11388316,11405168,ZDB-GENE-090313-396
gene-impg2a,31853113,31885745,ZDB-GENE-140106-217
gene-inpp5kb,29290922,29307985,ZDB-GENE-100408-3
gene-itgb8,2740016,2781603,ZDB-GENE-071213-3
gene-izumo1,49010250,49028173,ZDB-GENE-180517-1
gene-kat14,25908834,25921057,ZDB-GENE-040718-452
gene-kcnh3,29576852,29778641,ZDB-GENE-070912-23
gene-kcnip4a,75482921,75797660,ZDB-GENE-131003-3
gene-kcnj9,52286267,52331373,ZDB-GENE-081104-42
gene-kcnq4,44941380,45061967,ZDB-GENE-120215-132
gene-kctd5b,40930662,40952741,ZDB-GENE-140106-245
gene-klhl29,48099719,48707840,ZDB-GENE-121114-1
gene-kpna6,32331843,32357659,ZDB-GENE-130530-626
gene-ky,14143878,14165973,ZDB-GENE-090313-64
gene-lamb3,1120215,1151177,ZDB-GENE-081104-69
gene-lct,48201552,48212309,ZDB-GENE-081105-132
gene-lima1b,2366363,2407095,ZDB-GENE-030131-4116
gene-lmod1a,30235766,30243443,ZDB-GENE-081104-348
gene-LOC100001114,44232144,44377188,ZDB-GENE-260804-2
gene-LOC100001620,38809300,38844929,ZDB-GENE-260804-4
gene-LOC100001665,10665553,10704476,ZDB-GENE-260805-1
gene-LOC100001991,20056444,20092489,ZDB-GENE-260805-2
gene-LOC100002141,6219784,6232944,ZDB-GENE-260806-2
gene-LOC100002503,2537171,2558377,ZDB-GENE-260811-1
gene-LOC100002544,27388774,27394641,ZDB-GENE-260814-1
gene-LOC100002633,51602751,51639240,ZDB-GENE-260814-2
gene-LOC100002960,481598,488590,ZDB-GENE-220523-332
gene-LOC100004321,36636329,36643730,ZDB-GENE-260814-3
gene-LOC100004427,18268107,18276157,ZDB-GENE-260814-4
gene-LOC100005008,47781416,47828410,ZDB-GENE-260814-5
gene-LOC100005356,48647715,48652189,ZDB-GENE-260818-2
gene-LOC100006469,7143101,7149279,ZDB-GENE-260914-1
gene-LOC100150651,14178233,14247589,ZDB-GENE-070705-181
gene-LOC100329560,79697757,79700126,ZDB-GENE-220523-259
gene-LOC100329651,72732958,72819265,ZDB-GENE-121108-3
gene-LOC100330501,36890269,37380666,ZDB-GENE-251022-3
gene-LOC100330546,46822376,46826630,ZDB-GENE-260318-2
gene-LOC100330629,79927266,80262196,ZDB-GENE-101103-16
gene-LOC100330797,50387808,50404243,ZDB-GENE-030131-9461
gene-LOC100331556,52497859,53321483,ZDB-GENE-030131-9886
gene-LOC100333484,9447148,9485189,ZDB-GENE-091204-176
gene-LOC100334800,62234180,62235671,ZDB-GENE-071004-9
gene-LOC100500933,46855161,46883749,ZDB-GENE-260318-3
gene-LOC100537853,57736007,57747250,ZDB-GENE-071004-94
gene-LOC101882212,14202101,14206589,ZDB-GENEP-070705-11
gene-LOC101882213,61075557,61086860,ZDB-GENE-260310-35
gene-LOC101882575,702716,741084,ZDB-GENE-240105-1
gene-LOC101883134,1732164,1744187,ZDB-GENE-050208-548
gene-LOC101883788,3548941,3563612,ZDB-GENE-061106-4
gene-LOC101883825,61154260,61164607,ZDB-GENE-260310-26
gene-LOC101883999,61229120,61235977,ZDB-GENE-260310-30
gene-LOC101884073,12834427,12902071,ZDB-GENE-131127-97
gene-LOC101884093,18605365,18614413,ZDB-GENE-081031-97
gene-LOC101884284,37630138,37698247,ZDB-GENE-131121-157
gene-LOC101884583,23802700,23816517,ZDB-GENE-030131-1109
gene-LOC101884594,53022563,53490425,ZDB-GENE-141216-146
gene-LOC101884644,5888457,5922712,ZDB-GENE-050306-35
gene-LOC101885094,55892205,55895661,ZDB-GENE-041014-226
gene-LOC101885706,60972433,60978721,ZDB-GENE-260310-7
gene-LOC101886030,73184787,73453004,ZDB-GENE-050309-44
gene-LOC103910107,46832320,46849955,ZDB-GENE-180104-12
gene-LOC108179508,11876065,11899496,ZDB-GENE-100921-37
gene-LOC108180288,42699545,42705871,ZDB-GENE-041014-94
gene-LOC108180292,55955064,55958570,ZDB-GENE-041014-222
gene-LOC108183378,11518054,11523108,ZDB-GENE-110913-46
gene-LOC108191751,48317461,48347864,ZDB-GENE-260219-1
gene-LOC108191777,48521256,48549950,ZDB-GENE-260218-3
gene-LOC110437744,75492132,75502736,ZDB-GENE-070705-142
gene-LOC110437818,44200705,44227109,ZDB-GENE-070912-457
gene-LOC110437819,2991706,2993926,ZDB-GENE-081031-87
gene-LOC110438053,55646633,55668229,ZDB-GENE-030131-3099
gene-LOC110438308,192627,206165,ZDB-GENE-050208-745
gene-LOC110439338,45049730,45069506,ZDB-GENE-080206-1
gene-LOC110439389,65094953,65535916,ZDB-GENE-081103-43
gene-LOC110439714,56956318,56976082,ZDB-GENE-090313-82
gene-LOC137487196,26280414,26321891,ZDB-GENE-250918-1
gene-LOC137487204,17542766,17545495,ZDB-GENE-001106-5
gene-LOC137487556,2789520,2793747,ZDB-GENE-041118-14
gene-LOC137487595,13544380,13547173,ZDB-GENE-040426-1397
gene-LOC137487800,857659,866254,ZDB-GENE-030131-2123
gene-LOC137488585,31586453,31591165,ZDB-GENE-041014-301
gene-LOC137488901,7108797,7119644,ZDB-GENE-260914-2
gene-LOC137488985,38989598,38999224,ZDB-GENE-050208-770
gene-LOC137490923,44257246,44336029,ZDB-GENE-110913-20
gene-LOC137491183,54311012,54333739,ZDB-GENE-081103-63
gene-LOC137495351,60990514,60999264,ZDB-GENE-260310-11
gene-LOC137495984,58966237,58976711,ZDB-GENE-260310-3
gene-LOC137496355,26443407,26470994,ZDB-GENE-080225-10
gene-LOC137496709,31646337,31651626,ZDB-GENE-030131-6073
gene-LOC137496750,8438567,8450080,ZDB-GENE-081104-372
gene-LOC137496858,50523456,50561673,ZDB-GENE-030131-8106
gene-LOC141375328,61187557,61227425,ZDB-GENE-260310-27
gene-LOC141375347,21912643,21914894,ZDB-GENE-160728-145
gene-LOC141376791,21066572,21069955,ZDB-GENE-030131-1207
gene-LOC141377552,37931552,37938823,ZDB-GENE-141215-46
gene-LOC141378197,17144920,17169597,ZDB-GENE-160113-60
gene-LOC141378913,51855867,51870686,ZDB-GENE-140106-226
gene-LOC141379165,42165312,42171717,ZDB-GENE-070705-460
gene-LOC141379467,55931351,55935067,ZDB-GENE-041014-225
gene-LOC141379873,26628303,26630744,ZDB-GENE-141216-302
gene-LOC141380319,20551604,20555292,ZDB-GENE-050208-506
gene-LOC141380680,25595353,25601723,ZDB-GENE-050114-4
gene-LOC141381701,38803604,38823723,ZDB-GENE-141211-66
gene-LOC141381820,55138308,55146459,ZDB-GENE-030131-2002
gene-LOC141385605,26008244,26011301,ZDB-GENE-070720-19
gene-LOC407643,20299825,20362719,ZDB-GENE-141219-48
gene-LOC553228,62433222,62444677,ZDB-GENE-260713-1
gene-LOC553528,15781455,15811148,ZDB-GENE-220523-127
gene-LOC556054,12847702,12897981,ZDB-GENE-091015-5
gene-LOC556707,48343166,48356473,ZDB-GENE-220523-152
gene-LOC556989,3069113,3137873,ZDB-GENE-220523-321
gene-LOC557537,75451412,75456382,ZDB-GENE-260717-1
gene-LOC559107,48182556,48198974,ZDB-GENE-081104-434
gene-LOC559859,34544001,34600415,ZDB-GENE-260717-2
gene-LOC561325,5106455,5121131,ZDB-GENE-260721-1
gene-LOC562098,51635052,51659106,ZDB-GENE-260721-2
gene-LOC562542,47745070,47754209,ZDB-GENE-260721-3
gene-LOC562831,55360749,55479274,ZDB-GENE-260721-4
gene-LOC564748,38382962,38397717,ZDB-GENE-260721-5
gene-LOC567472,38721762,38724789,ZDB-GENE-260721-6
gene-LOC568645,17690392,17702883,ZDB-GENE-260721-7
gene-LOC568656,50373099,50379000,ZDB-GENE-260313-1
gene-LOC570571,55632900,55648944,ZDB-GENE-220523-167
gene-LOC571124,1595674,1602865,ZDB-GENE-260727-1
gene-LOC571446,50492161,50507214,ZDB-GENE-220523-209
gene-LOC571582,23417100,23423295,ZDB-GENE-260727-2
gene-LOC571912,7589653,7602836,ZDB-GENE-260728-1
gene-LOC572297,67751009,67770033,ZDB-GENE-200114-3
gene-LOC572670,2730037,2740584,ZDB-GENE-220523-223
gene-LOC573060,36572689,36575913,ZDB-GENE-260728-2
gene-LOC606627,48731302,48736096,ZDB-GENE-050809-71
gene-LOC793236,27897578,27908741,ZDB-GENE-220523-132
gene-LOC793338,50695777,50702724,ZDB-GENE-260729-1
gene-LOC793560,19874674,19892753,ZDB-GENE-220523-306
gene-LOC793750,4227699,4236125,ZDB-GENE-260729-2
gene-LOC794838,40001491,40019840,ZDB-GENE-260729-4
gene-LOC795051,7622598,7663057,ZDB-GENE-260730-1
gene-LOC796282,46848462,46852161,ZDB-GENE-260318-1
gene-LOC797542,32680397,32694595,ZDB-GENE-071005-3
gene-LOC797620,48490208,48592106,ZDB-GENE-260803-1
gene-LOC797658,77866740,77916012,ZDB-GENE-260803-2
gene-LOC797812,43520715,43820523,ZDB-GENE-260803-3
gene-LOC798124,7653812,7657598,ZDB-GENE-220523-173
gene-LOC799265,43026980,43058371,ZDB-GENE-260803-5
gene-lratb.1,11479857,11518462,ZDB-GENE-060810-31
gene-lrp1ba,14067959,14538186,ZDB-GENE-050208-608
gene-lrriq3,19848163,19853553,ZDB-GENE-081104-400
gene-ly96,33237285,33246272,ZDB-GENE-160113-130
gene-lyrm4,2830001,2980987,ZDB-GENE-091204-235
gene-map3k19,24837407,24852552,ZDB-GENE-081104-140
gene-marf1,129669,141384,ZDB-GENE-260818-1
gene-matr3l1.1,29335912,29351179,ZDB-GENE-030616-40
gene-matr3l1.2,29352376,29372582,ZDB-GENE-090505-1
gene-mcmdc2,27649944,27678954,ZDB-GENE-030131-2568
gene-mcmdc2as,27664947,27667968,ZDB-LINCRNAG-160518-1
gene-MGC174155,18313118,18318627,ZDB-GENE-260320-1
gene-mir133c,7094975,7095065,ZDB-MIRNAG-090929-142
gene-mir1388,15142533,15142635,ZDB-MIRNAG-091023-6
gene-mir181a-1,22671105,22671188,ZDB-MIRNAG-041217-12
gene-mir2188,75035076,75035179,ZDB-MIRNAG-091023-9
gene-mir222b,48854211,48854307,ZDB-MIRNAG-091026-2
gene-mir732,43412677,43412761,ZDB-MIRNAG-090929-311
gene-mir737,48961981,48962076,ZDB-MIRNAG-090929-317
gene-mmp13a,43721507,43747770,ZDB-GENE-031202-2
gene-mrap,5903555,5905481,ZDB-GENE-060503-387
gene-mrto4,44167924,44175735,ZDB-GENE-050417-142
gene-myo10l3,12806063,12957071,ZDB-GENE-070912-237
gene-naaladl2,9261321,9896847,ZDB-GENE-130619-1
gene-nacc2,78251563,78286839,ZDB-GENE-260401-1
gene-nexmifa,23801356,23815971,ZDB-GENE-110411-102
gene-nitr10a,17262634,17265935,ZDB-GENE-041001-5
gene-nlrb5,47009295,47046516,ZDB-GENE-081015-5
gene-nmi,58854707,58859800,ZDB-GENE-030131-7271
gene-npas4b,27002469,27006964,ZDB-GENE-091117-33
gene-obscnb,39674259,39774705,ZDB-GENE-070119-5
gene-ophn1,36307927,36369066,ZDB-GENE-040718-464
gene-osbpl8,2725054,2819289,ZDB-GENE-110309-1
gene-parp14rs2.1,7840278,7873091,ZDB-GENE-160114-75
gene-parp9,25376867,25384575,ZDB-GENE-081104-179
gene-pdzph1,6096251,6136412,ZDB-GENE-090313-385
gene-phc3,40449474,40475845,ZDB-GENE-070912-369
gene-phf1,49888306,49914283,ZDB-GENE-100922-277
gene-phyhip,62285509,62304828,ZDB-GENE-260806-3
gene-pimr169,12935685,12943228,ZDB-GENE-141211-49
gene-pimr179,47239822,47250813,ZDB-GENE-050419-252
gene-pimr185,57547544,57552367,ZDB-GENE-081104-450
gene-pimr193,25341607,25350003,ZDB-GENE-141216-223
gene-pimr80,25877282,25892487,ZDB-GENE-060503-402
gene-pimr81,25790579,25794614,ZDB-GENE-060503-24
gene-plpp1b,1083438,1101204,ZDB-GENE-091218-1
gene-pon3.1,25956252,25962640,ZDB-GENE-050522-353
gene-pon3.2,25950955,25955528,ZDB-GENE-071004-70
gene-pou2f2a,7158483,7262671,ZDB-GENE-060310-2
gene-pou2f2b,11120720,11259350,ZDB-GENE-060310-1
gene-ppp1r15b,25616334,25624649,ZDB-GENE-260402-1
gene-prdm8a,9788829,9795007,ZDB-GENE-091204-320
gene-prickle3,58993732,59075076,ZDB-GENE-081105-86
gene-prkag3a,7574490,7588204,ZDB-GENE-091204-419
gene-prkar2b,4073369,4105773,ZDB-GENE-150527-1
gene-psmb11a,41394641,41395768,ZDB-GENE-040724-32
gene-pthlha,867770,884680,ZDB-GENE-050119-9
gene-ptprjb.1,24321474,24501815,ZDB-GENE-090304-1
gene-qkib,3610928,3790754,ZDB-GENE-081028-54
gene-rab11fip1b,46541466,46600125,ZDB-GENE-091204-322
gene-rab26,1366200,1477029,ZDB-GENE-180906-2
gene-radx,23540345,23553518,ZDB-GENE-081104-212
gene-rassf11,24413604,24420345,ZDB-GENE-081104-201
gene-rassf9,17694533,17707584,ZDB-GENE-091204-470
gene-rbm20,31563376,31713495,ZDB-GENE-050208-256
gene-rbm25a,36436708,36461730,ZDB-GENE-090312-142
gene-rca2.2,29068599,29074988,ZDB-GENE-060503-646
gene-rimbp2b,52364704,52633090,ZDB-GENE-040724-96
gene-rnf212,19775338,19786120,ZDB-GENE-110208-6
gene-rnf220b,20102161,20213126,ZDB-GENE-081104-195
gene-rubcnl,26707048,26729143,ZDB-GENE-070912-256
gene-rusc1,14368290,14402363,ZDB-GENE-100922-274
gene-samd12,49565045,49731107,ZDB-GENE-060503-192
gene-sb:cb1081,79657275,79687689,ZDB-GENE-110411-85
gene-scg2a,45858178,45864740,ZDB-GENE-030131-8214
gene-sema6bb,20800279,21086616,ZDB-GENE-081105-129
gene-septin4b,196534,245021,ZDB-GENE-071127-1
gene-sgsm1b,2044906,2085328,ZDB-GENE-091117-39
gene-sh2b2,2600050,2629146,ZDB-GENE-260402-2
gene-si:ch1073-15f19.2,29761824,29839912,ZDB-GENE-091204-84
gene-si:ch1073-188e1.1,7032795,7107388,ZDB-GENE-070705-5
gene-si:ch1073-303k11.2,1348804,1358046,ZDB-GENE-141216-99
gene-si:ch1073-340i21.1,49936058,49948904,ZDB-GENE-131121-621
gene-si:ch1073-396h14.1,15365246,15412357,ZDB-GENE-070705-6
gene-si:ch211-102c2.8,27375066,27396232,ZDB-GENE-081104-98
gene-si:ch211-105n15.1,6677922,6730322,ZDB-GENE-110411-33
gene-si:ch211-106h4.4,34481106,34573922,ZDB-GENE-070705-14
gene-si:ch211-106k21.5,29853356,29866672,ZDB-GENE-070912-7
gene-si:ch211-108c6.2,21043457,21045865,ZDB-GENE-040724-7
gene-si:ch211-113e8.9,43252259,43281187,ZDB-GENE-090313-14
gene-si:ch211-122l14.5,41328367,41335046,ZDB-GENE-041014-265
gene-si:ch211-12e13.1,9918076,9923980,ZDB-GENE-060526-24
gene-si:ch211-132d3.4,14357157,14384245,ZDB-LINCRNAG-141216-148
gene-si:ch211-142k18.1,22239402,22252056,ZDB-LINCRNAG-040724-248
gene-si:ch211-147k10.6,32563920,32585482,ZDB-LINCRNAG-050208-254
gene-si:ch211-149k23.9,14225134,14243615,ZDB-GENE-100922-15
gene-si:ch211-152c2.3,1098970,1102012,ZDB-GENE-030131-9914
gene-si:ch211-163c2.3,7950956,8018816,ZDB-GENE-160114-84
gene-si:ch211-167j9.5,26274667,26283400,ZDB-GENE-131121-210
gene-si:ch211-168k14.2,33026532,33268099,ZDB-GENE-070912-149
gene-si:ch211-171h4.5,11547495,11575122,ZDB-GENE-081104-151
gene-si:ch211-193l2.6,44339189,44342424,ZDB-GENE-141216-353
gene-si:ch211-196h16.12,58441504,58489574,ZDB-GENE-121214-351
gene-si:ch211-197l9.2,33867837,33939029,ZDB-GENE-091204-369
gene-si:ch211-200o3.1,22409448,22413339,ZDB-GENE-030131-8346
gene-si:ch211-202a12.4,42863600,42868556,ZDB-GENE-030131-8486
gene-si:ch211-214j8.15,26699974,26719268,ZDB-LINCRNAG-060526-103
gene-si:ch211-214k5.3,29914326,29919009,ZDB-GENE-041210-206
gene-si:ch211-214p13.3,9339437,9371029,ZDB-GENE-060503-779
gene-si:ch211-214p13.8,9384349,9391736,ZDB-GENE-060503-120
gene-si:ch211-214p13.9,9499713,9530612,ZDB-GENE-060503-213
gene-si:ch211-214p16.1,26979024,26980392,ZDB-GENE-030616-606
gene-si:ch211-214p16.2,26981160,26981963,ZDB-GENE-030616-607
gene-si:ch211-218c6.8,18370049,18374805,ZDB-GENE-050419-103
gene-si:ch211-221n20.1,55921084,55924561,ZDB-GENE-041014-227
gene-si:ch211-235f1.3,3070952,3096507,ZDB-GENE-091204-440
gene-si:ch211-239m17.1,4956541,4959897,ZDB-GENE-060503-128
gene-si:ch211-246m6.5,13845580,13979031,ZDB-GENE-050208-577
gene-si:ch211-254p10.2,20344097,20364822,ZDB-GENE-100922-17
gene-si:ch211-255f4.3,1595419,1607089,ZDB-GENE-050208-789
gene-si:ch211-260p9.3,14560856,14585532,ZDB-GENE-050419-185
gene-si:ch211-271g18.1,44064409,44081027,ZDB-GENE-081103-38
gene-si:ch211-272n13.3,4175208,4251494,ZDB-GENE-081104-135
gene-si:ch211-277p15.1,20893236,20900620,ZDB-GENE-081105-113
gene-si:ch211-286b4.4,24630561,24727955,ZDB-GENE-131127-605
gene-si:ch211-63b16.4,25345442,25369907,ZDB-GENE-131121-480
gene-si:ch211-63p21.2,3848183,3874773,ZDB-GENE-160113-123
gene-si:ch211-66k16.2,48674496,48689015,ZDB-GENE-070912-303
gene-si:ch211-79h18.2,44495751,44501787,ZDB-GENE-110411-181
gene-si:ch73-138e16.6,1428821,1444924,ZDB-GENE-070705-205
gene-si:ch73-182e20.4,26282621,26300129,ZDB-GENE-131127-155
gene-si:ch73-27e22.4,8528526,8544913,ZDB-GENE-070705-232
gene-si:ch73-299h12.4,2907272,2915924,ZDB-GENE-081104-275
gene-si:ch73-30b17.2,15912926,15940353,ZDB-GENE-131121-562
gene-si:ch73-367f21.4,7964378,7977301,ZDB-GENE-120214-27
gene-si:ch73-49p17.1,7668512,7686198,ZDB-LINCRNAG-081107-45
gene-si:ch73-90k17.1,48597400,48602209,ZDB-GENE-090312-218
gene-si:ch73-92e7.6,2693777,2708623,ZDB-GENE-081031-35
gene-si:dkey-103g5.4,24347561,24410642,ZDB-GENE-131127-503
gene-si:dkey-10h3.1,5359879,5389716,ZDB-GENE-060503-48
gene-si:dkey-112e17.1,18547096,18601563,ZDB-GENE-060526-193
gene-si:dkey-11e23.9,25439271,25444303,ZDB-GENE-081104-37
gene-si:dkey-11f4.7,316633,377356,ZDB-GENE-070912-361
gene-si:dkey-11o1.3,11859788,11873737,ZDB-GENE-100921-76
gene-si:dkey-13n15.2,21764265,21796379,ZDB-GENE-060526-209
gene-si:dkey-14d8.20,5346700,5363455,ZDB-GENE-041210-146
gene-si:dkey-14d8.21,5852507,5900477,ZDB-GENE-041210-147
gene-si:dkey-14d8.22,5875502,5880485,ZDB-NCRNAG-041210-1
gene-si:dkey-157l19.2,39452323,39499634,ZDB-GENE-090313-190
gene-si:dkey-159a18.1,20705478,20719018,ZDB-GENE-041210-204
gene-si:dkey-15h8.13,2047395,2055698,ZDB-GENE-050208-467
gene-si:dkey-15h8.15,2065073,2066829,ZDB-GENE-050208-626
gene-si:dkey-16n15.3,25283603,25284456,ZDB-GENE-081104-331
gene-si:dkey-170g13.2,35592480,35596900,ZDB-GENE-131121-388
gene-si:dkey-182g1.3,8681799,8694089,ZDB-GENE-060503-713
gene-si:dkey-182g1.4,8696159,8705770,ZDB-GENE-060503-808
gene-si:dkey-182g1.6,8768997,8777639,ZDB-GENE-100922-82
gene-si:dkey-192k22.2,20027729,20097491,ZDB-GENE-090313-219
gene-si:dkey-1b17.9,1825408,1847999,ZDB-GENE-050208-546
gene-si:dkey-20i10.7,12908303,12914755,ZDB-GENE-090313-232
gene-si:dkey-220o5.5,54193291,54252964,ZDB-GENE-081104-376
gene-si:dkey-221j11.3,46125143,46131591,ZDB-GENE-090313-247
gene-si:dkey-233e3.2,33358466,33395671,ZDB-GENE-081103-3
gene-si:dkey-234i14.9,40017489,40018109,ZDB-GENE-131120-152
gene-si:dkey-23a13.11,5646911,5680330,ZDB-GENE-160113-14
gene-si:dkey-23c22.5,24273441,24283417,ZDB-GENE-081105-147
gene-si:dkey-23i12.5,25028870,25033566,ZDB-GENE-141222-32
gene-si:dkey-240e12.6,26103583,26104770,ZDB-GENE-050208-367
gene-si:dkey-253d23.11,9576520,9579565,ZDB-GENE-050208-631
gene-si:dkey-253d23.8,9547009,9561136,ZDB-GENE-050208-568
gene-si:dkey-273o13.3,73156099,73172538,ZDB-GENE-060526-283
gene-si:dkey-49o11.1,27656735,27659723,ZDB-GENE-060526-304
gene-si:dkey-82f1.1,3113026,3201616,ZDB-LINCRNAG-030131-2982
gene-si:dkeyp-46h3.6,29978615,29981399,ZDB-GENE-060503-90
gene-si:dkeyp-53d3.6,1544145,1550084,ZDB-LINCRNAG-050208-390
gene-si:rp71-23d18.8,25467308,25497223,ZDB-GENE-050208-521
gene-slc10a4,26032597,26043195,ZDB-GENE-041014-249
gene-slc37a4b,44307088,44325771,ZDB-GENE-040426-827
